,index,policy
0,45,virtual_deployment_units_con:transcoder-image-1-con
1,46,virtual_deployment_units_con:transcoder-image-1-con
2,47,virtual_deployment_units_con:transcoder-image-1-con
3,48,virtual_deployment_units_con:transcoder-image-1-con
4,49,virtual_deployment_units_con:transcoder-image-1-con
5,50,virtual_deployment_units_con:transcoder-image-1-con
6,51,virtual_deployment_units_con:transcoder-image-1-con
7,52,virtual_deployment_units_con:transcoder-image-1-con
8,53,virtual_deployment_units_con:transcoder-image-1-con
9,54,virtual_deployment_units_con:transcoder-image-1-con
10,55,virtual_deployment_units_con:transcoder-image-1-con
11,56,virtual_deployment_units_con:transcoder-image-1-con
12,57,virtual_deployment_units_con:transcoder-image-1-con
13,58,virtual_deployment_units_con:transcoder-image-1-con
14,59,virtual_deployment_units_con:transcoder-image-1-con
15,60,virtual_deployment_units_gpu:transcoder-image-1-gpu
16,61,virtual_deployment_units_gpu:transcoder-image-1-gpu
17,62,virtual_deployment_units_gpu:transcoder-image-1-gpu
18,63,virtual_deployment_units_gpu:transcoder-image-1-gpu
19,64,virtual_deployment_units_gpu:transcoder-image-1-gpu
20,65,virtual_deployment_units_gpu:transcoder-image-1-gpu
21,66,virtual_deployment_units_gpu:transcoder-image-1-gpu
22,67,virtual_deployment_units_gpu:transcoder-image-1-gpu
23,68,virtual_deployment_units_gpu:transcoder-image-1-gpu
24,69,virtual_deployment_units_gpu:transcoder-image-1-gpu
25,70,virtual_deployment_units_gpu:transcoder-image-1-gpu
26,71,virtual_deployment_units_gpu:transcoder-image-1-gpu
27,72,virtual_deployment_units_gpu:transcoder-image-1-gpu
28,73,virtual_deployment_units_gpu:transcoder-image-1-gpu
29,74,virtual_deployment_units_gpu:transcoder-image-1-gpu
