,mean,std,min,max,policy,history
0,1143.8423581273914,,1143.8423581273914,1143.8423581273914,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
1,1181.5958472856325,,1181.5958472856325,1181.5958472856325,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
2,1158.0805196066215,,1158.0805196066215,1158.0805196066215,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
3,1189.8636087639404,,1189.8636087639404,1189.8636087639404,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
4,1190.384826151386,,1190.384826151386,1190.384826151386,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
5,1217.0958690530415,,1217.0958690530415,1217.0958690530415,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
6,1210.799511269895,,1210.799511269895,1210.799511269895,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
7,1211.9496227313434,,1211.9496227313434,1211.9496227313434,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
8,1221.1783529695253,,1221.1783529695253,1221.1783529695253,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
9,1230.6649781194126,,1230.6649781194126,1230.6649781194126,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
10,1201.0147696580852,,1201.0147696580852,1201.0147696580852,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
11,1183.778511089755,,1183.778511089755,1183.778511089755,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
12,1234.1435830189896,,1234.1435830189896,1234.1435830189896,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
13,1180.0140712725347,,1180.0140712725347,1180.0140712725347,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
14,1226.2785243396886,,1226.2785243396886,1226.2785243396886,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
15,1229.5639588206532,,1229.5639588206532,1229.5639588206532,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
16,1202.630404917525,,1202.630404917525,1202.630404917525,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
17,1200.8877197839622,,1200.8877197839622,1200.8877197839622,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
18,1177.8801819684602,,1177.8801819684602,1177.8801819684602,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
19,1219.6151278123484,,1219.6151278123484,1219.6151278123484,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
20,1279.3101427571166,,1279.3101427571166,1279.3101427571166,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
21,1231.3749669694173,,1231.3749669694173,1231.3749669694173,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
22,1153.8659319727335,,1153.8659319727335,1153.8659319727335,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
