,index,history,avg_datarate,playing_time,down_time
0,45,virtual_deployment_units_con:transcoder-image-1-con,852.6026402910551,60.0,0.0
1,46,virtual_deployment_units_con:transcoder-image-1-con,853.9023091395696,60.0,0.0
2,47,virtual_deployment_units_con:transcoder-image-1-con,833.9378885924816,60.0,0.0
3,48,virtual_deployment_units_con:transcoder-image-1-con,888.80036820968,60.0,0.0
4,49,virtual_deployment_units_con:transcoder-image-1-con,887.3225286602974,60.0,0.0
5,50,virtual_deployment_units_con:transcoder-image-1-con,907.880999147892,60.0,0.0
6,51,virtual_deployment_units_gpu:transcoder-image-1-gpu,4365.398433862948,49.0,11.0
7,52,virtual_deployment_units_con:transcoder-image-1-con,1498.5295798418656,51.0,9.0
8,53,virtual_deployment_units_con:transcoder-image-1-con,885.4959552486738,60.0,0.0
9,54,virtual_deployment_units_con:transcoder-image-1-con,761.4788149793943,60.0,0.0
10,55,virtual_deployment_units_con:transcoder-image-1-con,726.8893097837766,60.0,0.0
11,56,virtual_deployment_units_gpu:transcoder-image-1-gpu,5260.519629600001,49.0,11.0
12,57,virtual_deployment_units_con:transcoder-image-1-con,2309.6653947643204,49.0,11.0
13,58,virtual_deployment_units_con:transcoder-image-1-con,881.1994448304176,60.0,0.0
14,59,virtual_deployment_units_gpu:transcoder-image-1-gpu,4278.788169989219,50.0,10.0
15,60,virtual_deployment_units_con:transcoder-image-1-con,1812.232528741543,50.0,10.0
16,61,virtual_deployment_units_gpu:transcoder-image-1-gpu,5165.9363273244635,50.0,10.0
17,62,virtual_deployment_units_con:transcoder-image-1-con,1423.4235820905217,51.0,9.0
18,63,virtual_deployment_units_con:transcoder-image-1-con,899.4909760852655,60.0,0.0
19,64,virtual_deployment_units_con:transcoder-image-1-con,729.0739263097445,60.0,0.0
20,65,virtual_deployment_units_gpu:transcoder-image-1-gpu,6477.701181769371,48.0,12.0
21,66,virtual_deployment_units_gpu:transcoder-image-1-gpu,6334.419673681259,60.0,0.0
22,67,virtual_deployment_units_gpu:transcoder-image-1-gpu,6130.84682226181,60.0,0.0
23,68,virtual_deployment_units_gpu:transcoder-image-1-gpu,6035.528830687205,60.0,0.0
24,69,virtual_deployment_units_gpu:transcoder-image-1-gpu,7050.016327699025,60.0,0.0
25,70,virtual_deployment_units_gpu:transcoder-image-1-gpu,6443.284440040588,60.0,0.0
26,71,virtual_deployment_units_gpu:transcoder-image-1-gpu,7099.637766679128,60.0,0.0
27,72,virtual_deployment_units_gpu:transcoder-image-1-gpu,6236.067444086075,60.0,0.0
28,73,virtual_deployment_units_gpu:transcoder-image-1-gpu,6626.109238962333,60.0,0.0
29,74,virtual_deployment_units_gpu:transcoder-image-1-gpu,6416.854552427928,60.0,0.0
