,index,policy,avg_datarate,playing_time,down_time
0,45,virtual_deployment_units_con:transcoder-image-1-con,747.4885180592537,60.0,0.0
1,46,virtual_deployment_units_con:transcoder-image-1-con,756.0988704363505,60.0,0.0
2,47,virtual_deployment_units_con:transcoder-image-1-con,772.3028640573224,60.0,0.0
3,48,virtual_deployment_units_con:transcoder-image-1-con,754.6958488024151,60.0,0.0
4,49,virtual_deployment_units_con:transcoder-image-1-con,760.1312030417224,60.0,0.0
5,50,virtual_deployment_units_con:transcoder-image-1-con,756.1226810018221,60.0,0.0
6,51,virtual_deployment_units_con:transcoder-image-1-con,828.1270153820515,60.0,0.0
7,52,virtual_deployment_units_con:transcoder-image-1-con,761.8088154587895,60.0,0.0
8,53,virtual_deployment_units_con:transcoder-image-1-con,773.0930698414644,60.0,0.0
9,54,virtual_deployment_units_con:transcoder-image-1-con,764.5441790421804,60.0,0.0
10,55,virtual_deployment_units_con:transcoder-image-1-con,790.1472372313341,60.0,0.0
11,56,virtual_deployment_units_con:transcoder-image-1-con,762.1173781653246,60.0,0.0
12,57,virtual_deployment_units_con:transcoder-image-1-con,770.3354336321354,60.0,0.0
13,58,virtual_deployment_units_con:transcoder-image-1-con,754.0513237317404,60.0,0.0
14,59,virtual_deployment_units_con:transcoder-image-1-con,797.3712859517437,59.0,1.0
15,60,virtual_deployment_units_gpu:transcoder-image-1-gpu,5990.414261817932,50.0,10.0
16,61,virtual_deployment_units_gpu:transcoder-image-1-gpu,6163.729974779032,59.0,1.0
17,62,virtual_deployment_units_gpu:transcoder-image-1-gpu,6998.715406656265,60.0,0.0
18,63,virtual_deployment_units_gpu:transcoder-image-1-gpu,7239.289120833079,60.0,0.0
19,64,virtual_deployment_units_gpu:transcoder-image-1-gpu,7453.894046942393,60.0,0.0
20,65,virtual_deployment_units_gpu:transcoder-image-1-gpu,7301.407569646835,60.0,0.0
21,66,virtual_deployment_units_gpu:transcoder-image-1-gpu,7130.219515164693,60.0,0.0
22,67,virtual_deployment_units_gpu:transcoder-image-1-gpu,7072.465718289216,60.0,0.0
23,68,virtual_deployment_units_gpu:transcoder-image-1-gpu,7307.65806833903,60.0,0.0
24,69,virtual_deployment_units_gpu:transcoder-image-1-gpu,7329.02889251709,60.0,0.0
25,70,virtual_deployment_units_gpu:transcoder-image-1-gpu,7205.732496579488,60.0,0.0
26,71,virtual_deployment_units_gpu:transcoder-image-1-gpu,7177.755033969879,60.0,0.0
27,72,virtual_deployment_units_gpu:transcoder-image-1-gpu,5927.679673830668,60.0,0.0
28,73,virtual_deployment_units_gpu:transcoder-image-1-gpu,7005.737695097923,60.0,0.0
29,74,virtual_deployment_units_gpu:transcoder-image-1-gpu,7140.80586830775,60.0,0.0
