,pc_100,avg_datarate,playing_time,down_time
0,virtual_deployment_units_con:transcoder-image-1-con,740.4208693901697,300.0,0.0
1,virtual_deployment_units_gpu:transcoder-image-1-gpu,6006.755245843176,293.0,7.0
2,virtual_deployment_units_con:transcoder-image-1-con,1159.1137323159815,291.0,9.0
3,virtual_deployment_units_gpu:transcoder-image-1-gpu,6730.71805490502,288.0,12.0
4,virtual_deployment_units_con:transcoder-image-1-con,982.2132099572926,290.0,10.0
5,virtual_deployment_units_gpu:transcoder-image-1-gpu,5729.181384553714,292.0,8.0
6,virtual_deployment_units_con:transcoder-image-1-con,920.5454813198049,289.0,11.0
7,virtual_deployment_units_gpu:transcoder-image-1-gpu,6058.225540970934,288.0,12.0
8,virtual_deployment_units_con:transcoder-image-1-con,1021.885910116393,288.0,12.0
9,virtual_deployment_units_gpu:transcoder-image-1-gpu,5869.820784930497,290.0,10.0
10,virtual_deployment_units_con:transcoder-image-1-con,979.406754466994,288.0,12.0
11,virtual_deployment_units_gpu:transcoder-image-1-gpu,6608.427236682361,289.0,11.0
12,virtual_deployment_units_con:transcoder-image-1-con,994.6731690050392,291.0,9.0
13,virtual_deployment_units_gpu:transcoder-image-1-gpu,5793.396861683386,291.0,9.0
14,virtual_deployment_units_con:transcoder-image-1-con,1102.8882832461616,289.0,11.0
15,virtual_deployment_units_gpu:transcoder-image-1-gpu,6098.00371160246,290.0,10.0
16,virtual_deployment_units_con:transcoder-image-1-con,1049.4617768579333,289.0,11.0
17,virtual_deployment_units_gpu:transcoder-image-1-gpu,5665.742002579631,292.0,8.0
18,virtual_deployment_units_con:transcoder-image-1-con,1097.2337402157766,290.0,10.0
19,virtual_deployment_units_gpu:transcoder-image-1-gpu,6187.062355438597,291.0,9.0
20,virtual_deployment_units_con:transcoder-image-1-con,945.9361996520887,289.0,11.0
21,virtual_deployment_units_gpu:transcoder-image-1-gpu,7100.873674709222,288.0,12.0
22,virtual_deployment_units_con:transcoder-image-1-con,1169.4937210581074,290.0,10.0
23,virtual_deployment_units_gpu:transcoder-image-1-gpu,5863.863961485059,291.0,9.0
24,virtual_deployment_units_con:transcoder-image-1-con,1047.1068943284222,289.0,11.0
25,virtual_deployment_units_gpu:transcoder-image-1-gpu,6534.317219257355,288.0,12.0
26,virtual_deployment_units_con:transcoder-image-1-con,979.4056467609863,290.0,10.0
27,virtual_deployment_units_gpu:transcoder-image-1-gpu,7114.954702174704,291.0,9.0
28,virtual_deployment_units_con:transcoder-image-1-con,1027.7907255896178,289.0,11.0
29,virtual_deployment_units_gpu:transcoder-image-1-gpu,5860.863304301484,290.0,10.0
30,virtual_deployment_units_con:transcoder-image-1-con,1191.6463337965793,291.0,9.0
31,virtual_deployment_units_vm:transcoder-image-1-vm,886.0368231598962,296.0,4.0
32,virtual_deployment_units_con:transcoder-image-1-con,833.0963197845541,296.0,4.0
33,virtual_deployment_units_vm:transcoder-image-1-vm,781.7650684374291,296.0,4.0
34,virtual_deployment_units_con:transcoder-image-1-con,883.7269233577204,296.0,4.0
35,virtual_deployment_units_vm:transcoder-image-1-vm,755.6533967488564,296.0,4.0
36,virtual_deployment_units_con:transcoder-image-1-con,796.4857495123339,295.0,5.0
37,virtual_deployment_units_vm:transcoder-image-1-vm,776.6974599869459,296.0,4.0
38,virtual_deployment_units_con:transcoder-image-1-con,747.8923037548193,296.0,4.0
39,virtual_deployment_units_vm:transcoder-image-1-vm,872.7607087500943,296.0,4.0
40,virtual_deployment_units_con:transcoder-image-1-con,747.5076403080012,295.0,5.0
41,virtual_deployment_units_vm:transcoder-image-1-vm,796.1826234377745,296.0,4.0
42,virtual_deployment_units_con:transcoder-image-1-con,753.0659232163589,296.0,4.0
43,virtual_deployment_units_vm:transcoder-image-1-vm,742.1118867327303,296.0,4.0
44,virtual_deployment_units_con:transcoder-image-1-con,882.024329686975,296.0,4.0
45,virtual_deployment_units_vm:transcoder-image-1-vm,866.4026951929867,296.0,4.0
46,virtual_deployment_units_con:transcoder-image-1-con,743.7436544905173,296.0,4.0
47,virtual_deployment_units_vm:transcoder-image-1-vm,767.6891902549155,296.0,4.0
48,virtual_deployment_units_con:transcoder-image-1-con,890.0478073844204,295.0,5.0
49,virtual_deployment_units_vm:transcoder-image-1-vm,876.9545230913807,292.0,8.0
50,virtual_deployment_units_con:transcoder-image-1-con,843.5783504239665,296.0,4.0
51,virtual_deployment_units_vm:transcoder-image-1-vm,782.3190940575262,296.0,4.0
52,virtual_deployment_units_con:transcoder-image-1-con,748.2354501546439,293.0,7.0
53,virtual_deployment_units_vm:transcoder-image-1-vm,881.7325447429747,296.0,4.0
54,virtual_deployment_units_con:transcoder-image-1-con,765.3739999239693,295.0,5.0
55,virtual_deployment_units_vm:transcoder-image-1-vm,773.8492104565512,296.0,4.0
56,virtual_deployment_units_con:transcoder-image-1-con,737.758450512145,294.0,6.0
57,virtual_deployment_units_vm:transcoder-image-1-vm,798.9607046502049,296.0,4.0
58,virtual_deployment_units_con:transcoder-image-1-con,893.8424037206893,296.0,4.0
59,virtual_deployment_units_vm:transcoder-image-1-vm,820.9923048212071,295.0,5.0
