,pc_100,avg_datarate,playing_time,down_time,buffer_time
0,virtual_deployment_units_con:transcoder-image-1-con,638.8126518889861,298.0,0.0,2.0
1,virtual_deployment_units_gpu:transcoder-image-1-gpu,5646.619648395761,294.0,3.0,3.0
2,virtual_deployment_units_con:transcoder-image-1-con,707.0190129770061,293.0,3.0,4.0
3,virtual_deployment_units_gpu:transcoder-image-1-gpu,5063.50427120924,294.0,3.0,3.0
4,virtual_deployment_units_con:transcoder-image-1-con,769.9866268808979,294.0,3.0,3.0
5,virtual_deployment_units_gpu:transcoder-image-1-gpu,5664.938779813902,292.0,3.0,5.0
6,virtual_deployment_units_con:transcoder-image-1-con,758.4260890159655,294.0,3.0,3.0
7,virtual_deployment_units_gpu:transcoder-image-1-gpu,5299.048866644349,291.0,5.0,4.0
8,virtual_deployment_units_con:transcoder-image-1-con,930.298873049728,293.0,4.0,3.0
9,virtual_deployment_units_gpu:transcoder-image-1-gpu,5395.135502255446,294.0,3.0,3.0
10,virtual_deployment_units_con:transcoder-image-1-con,860.5196663883288,294.0,3.0,3.0
11,virtual_deployment_units_vm:transcoder-image-1-vm,638.2137289712742,293.0,3.0,4.0
12,virtual_deployment_units_con:transcoder-image-1-con,540.4576971783674,291.0,3.0,6.0
13,virtual_deployment_units_vm:transcoder-image-1-vm,627.593716883913,276.0,10.0,14.0
14,virtual_deployment_units_con:transcoder-image-1-con,702.2662104006756,294.0,3.0,3.0
15,virtual_deployment_units_vm:transcoder-image-1-vm,686.1838409771858,293.0,3.0,4.0
16,virtual_deployment_units_con:transcoder-image-1-con,634.256379911676,294.0,4.0,2.0
17,virtual_deployment_units_vm:transcoder-image-1-vm,631.0907525597579,295.0,3.0,2.0
18,virtual_deployment_units_con:transcoder-image-1-con,715.9620255697519,294.0,3.0,3.0
19,virtual_deployment_units_vm:transcoder-image-1-vm,648.0069104006037,285.0,7.0,8.0
20,virtual_deployment_units_vm:transcoder-image-1-vm,625.0630024720558,298.0,0.0,2.0
21,virtual_deployment_units_gpu:transcoder-image-1-gpu,5451.283325491523,294.0,3.0,3.0
22,virtual_deployment_units_vm:transcoder-image-1-vm,1968.457914181685,293.0,3.0,4.0
23,virtual_deployment_units_gpu:transcoder-image-1-gpu,5296.229343357923,294.0,3.0,3.0
24,virtual_deployment_units_vm:transcoder-image-1-vm,1652.3235768561258,292.0,3.0,5.0
25,virtual_deployment_units_gpu:transcoder-image-1-gpu,5991.877089552328,292.0,4.0,4.0
26,virtual_deployment_units_vm:transcoder-image-1-vm,2027.1939182286562,292.0,3.0,5.0
27,virtual_deployment_units_gpu:transcoder-image-1-gpu,4538.176027041371,293.0,3.0,4.0
28,virtual_deployment_units_vm:transcoder-image-1-vm,1899.678432198517,292.0,3.0,5.0
29,virtual_deployment_units_gpu:transcoder-image-1-gpu,6049.661622363822,294.0,3.0,3.0
