ds0,ds1
1588140120,1.6615509571e+11,1.6518164620e+11
1588140180,1.6599519593e+11,1.6649616143e+11
1588140240,1.6587805059e+11,1.6628560648e+11
1588140300,1.6714767659e+11,1.6721799474e+11
1588140360,1.6733733644e+11,1.6751623124e+11
1588140420,1.6654257680e+11,1.6644915469e+11
1588140480,1.6831992825e+11,1.6833895555e+11
1588140540,1.6982806182e+11,1.6976693042e+11
1588140600,1.7128154028e+11,1.7134102991e+11
1588140660,1.7100068677e+11,1.7108935607e+11
1588140720,1.7097779341e+11,1.7124145614e+11
1588140780,1.7065853822e+11,1.7066395740e+11
1588140840,1.7290846102e+11,1.7280300456e+11
1588140900,1.7445060359e+11,1.7446966495e+11
1588140960,1.7233029378e+11,1.7216193316e+11
1588141020,1.7061370894e+11,1.7084515460e+11
1588141080,1.7121976065e+11,1.7143369284e+11
1588141140,1.7495087051e+11,1.7476411300e+11
1588141200,1.7752516024e+11,1.7749780337e+11
1588141260,1.7493419069e+11,1.7471837624e+11
1588141320,1.7563627703e+11,1.7580678557e+11
1588141380,1.7798164179e+11,1.7793030976e+11
1588141440,1.7787491494e+11,1.7801035705e+11
1588141500,1.8005073437e+11,1.8006129504e+11
1588141560,1.8083975426e+11,1.8089690989e+11
1588141620,1.7459153896e+11,1.7473763760e+11
1588141680,1.8060614068e+11,1.7980078842e+11
1588141740,1.7952265538e+11,1.7899042501e+11
1588141800,1.7589062592e+11,1.7677724363e+11
1588141860,1.7798111875e+11,1.7842896993e+11
1588141920,1.7744989331e+11,1.7753203794e+11
1588141980,1.7823345766e+11,1.7830443009e+11
1588142040,1.7888450141e+11,1.7892212833e+11
1588142100,1.7880602446e+11,1.7888393471e+11
1588142160,1.7338317631e+11,1.7329538562e+11
1588142220,1.7564052735e+11,1.7557838180e+11
1588142280,1.7283015877e+11,1.7295471587e+11
1588142340,1.7196802026e+11,1.7183593217e+11
1588142400,1.7462138480e+11,1.7462491031e+11
1588142460,1.7988414085e+11,1.8000975978e+11
1588142520,1.7359724565e+11,1.7362869468e+11
1588142580,1.7190500557e+11,1.7186368783e+11
1588142640,1.7222124746e+11,1.7210283134e+11
1588142700,1.7118745090e+11,1.7111076528e+11
1588142760,1.7061416858e+11,1.7081419790e+11
1588142820,1.7084937439e+11,1.7102012533e+11
1588142880,1.6694193889e+11,1.6684721223e+11
1588142940,1.6782628323e+11,1.6793463317e+11
1588143000,1.6775166655e+11,1.6795679031e+11
1588143060,1.6980022832e+11,1.6962201054e+11
1588143120,1.6878555698e+11,1.6874250477e+11
1588143180,1.6673246717e+11,1.6676052749e+11
1588143240,1.6742738339e+11,1.6734068775e+11
1588143300,1.6579166318e+11,1.6614053708e+11
1588143360,1.6575976049e+11,1.6601376081e+11
1588143420,1.6737075048e+11,1.6714240677e+11
1588143480,1.6804992776e+11,1.6777499648e+11
1588143540,1.6526029865e+11,1.6457418405e+11
1588143600,1.6316330137e+11,1.6374070677e+11
1588143660,1.6571652100e+11,1.6580303787e+11
1588143720,1.6632306611e+11,1.6655468498e+11
1588143780,1.6812685761e+11,1.6810094576e+11
1588143840,1.6632698677e+11,1.6616705468e+11
1588143900,1.6435262206e+11,1.6438528020e+11
1588143960,1.6484963597e+11,1.6422495090e+11
1588144020,1.6136902276e+11,1.6175847234e+11
1588144080,1.6511771133e+11,1.6477211886e+11
1588144140,1.6499972214e+11,1.6564626166e+11
1588144200,1.6116563375e+11,1.6153349388e+11
1588144260,1.6168009848e+11,1.6157833253e+11
1588144320,1.6129988149e+11,1.6124675515e+11
1588144380,1.5931375491e+11,1.5976049777e+11
1588144440,1.4996332284e+11,1.4946547287e+11
1588144500,1.5886860451e+11,1.5916364820e+11
1588144560,1.5717384150e+11,1.5763736468e+11
1588144620,1.5439735362e+11,1.5450250431e+11
1588144680,1.5416328753e+11,1.5416341808e+11
1588144740,1.5141771680e+11,1.5139884978e+11
1588144800,1.5280469846e+11,1.5282981885e+11
1588144860,1.5639150559e+11,1.5610739557e+11
1588144920,1.5563943363e+11,1.5569301486e+11
1588144980,1.5591600243e+11,1.5608846767e+11
1588145040,1.5559172992e+11,1.5562355530e+11
1588145100,1.5466129862e+11,1.5473477056e+11
1588145160,1.5238789421e+11,1.5254537344e+11
1588145220,1.4854724880e+11,1.4848810532e+11
1588145280,1.5601867227e+11,1.5556481986e+11
1588145340,1.5193745444e+11,1.5213774189e+11
1588145400,1.5021173760e+11,1.5042734455e+11
1588145460,1.5200486621e+11,1.5154175594e+11
1588145520,1.4837756858e+11,1.4877996165e+11
1588145580,1.4674245442e+11,1.4699617160e+11
1588145640,1.4963908077e+11,1.4959084916e+11
1588145700,1.5167686156e+11,1.5102399592e+11
1588145760,1.4940755781e+11,1.4989402476e+11
1588145820,1.5023582339e+11,1.5045910048e+11
1588145880,1.5236769748e+11,1.5220492272e+11
1588145940,1.5277050490e+11,1.5281054286e+11
1588146000,1.5572049637e+11,1.5577501302e+11
1588146060,1.5174893162e+11,1.5180953522e+11
1588146120,1.4959631362e+11,1.4956557721e+11
1588146180,1.4657594335e+11,1.4664479493e+11
1588146240,1.4529724036e+11,1.4525699565e+11
1588146300,1.4495398755e+11,1.4515481522e+11
1588146360,1.4552947750e+11,1.4557960763e+11
1588146420,1.4575123220e+11,1.4547528743e+11
1588146480,1.4389830466e+11,1.4362954545e+11
1588146540,1.3068925076e+11,1.3090070589e+11
1588146600,1.4411215744e+11,1.4371547108e+11
1588146660,1.4574320983e+11,1.4594969838e+11
1588146720,1.3858018659e+11,1.3865089948e+11
1588146780,1.3228613813e+11,1.3247452420e+11
1588146840,1.4381565545e+11,1.4395506401e+11
1588146900,1.4730139636e+11,1.4687028778e+11
1588146960,1.4371891399e+11,1.4374581461e+11
1588147020,1.4395996749e+11,1.4366220898e+11
1588147080,1.4054866699e+11,1.4085132791e+11
1588147140,1.4127878429e+11,1.4172650408e+11
1588147200,1.3952034609e+11,1.3913506516e+11
1588147260,1.4091773753e+11,1.4093330147e+11
1588147320,1.4059352997e+11,1.4094357748e+11
1588147380,1.4275425719e+11,1.4271768449e+11
1588147440,1.3984230306e+11,1.3991396588e+11
1588147500,1.3950012404e+11,1.3929617346e+11
1588147560,1.3853860058e+11,1.3874714612e+11
1588147620,1.3906817133e+11,1.3909871600e+11
1588147680,1.4212015659e+11,1.4198186228e+11
1588147740,1.4016348927e+11,1.4035115437e+11
1588147800,1.3806996750e+11,1.3773368708e+11
1588147860,1.3632251921e+11,1.3628861342e+11
