,pc_100,pc_100,pc_100,pc_100,pc_100,pc_100,pc_95,pc_95,pc_95,pc_95,pc_95,pc_95,pc_90,pc_90,pc_90,pc_90,pc_90,pc_90,pc_85,pc_85,pc_85,pc_85,pc_85,pc_85,pc_80,pc_80,pc_80,pc_80,pc_80,pc_80,pc_75,pc_75,pc_75,pc_75,pc_75,pc_75,pc_70,pc_70,pc_70,pc_70,pc_70,pc_70,pc_65,pc_65,pc_65,pc_65,pc_65,pc_65,pc_60,pc_60,pc_60,pc_60,pc_60,pc_60,history,history,history,history,history,history
,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded
0,216,216,360,0,0,0,222,222,370,5,0,5,222,222,370,125,0,125,279,279,465,305,0,305,387,387,645,530,0,530,540,540,900,1185,1185,0,666,666,1110,1280,0,1280,456,456,760,1730,1730,0,774,774,1290,2245,0,2245,1998,1998,7890,2787,203,167
1,216,216,360,0,0,0,210,210,350,55,0,55,330,330,550,235,235,0,303,303,505,280,0,280,435,435,725,655,0,655,558,558,930,1135,1135,0,651,651,1085,1310,0,1310,426,426,710,1740,1740,0,783,783,1305,2050,0,2050,1998,1998,7890,2787,203,167
2,216,216,360,0,0,0,216,216,360,50,0,50,252,252,420,155,0,155,273,273,455,310,0,310,429,429,715,580,0,580,576,576,960,1115,1115,0,702,702,1170,1175,0,1175,480,480,800,1790,1790,0,426,426,710,1990,1990,0,1998,1998,7890,2787,203,167
3,216,216,360,0,0,0,210,210,350,20,0,20,282,282,470,290,290,0,282,282,470,300,0,300,426,426,710,600,0,600,612,612,1020,1100,1100,0,558,558,930,1475,1475,0,564,564,940,1715,1715,0,426,426,710,2020,2020,0,1998,1998,7890,2787,203,167
4,216,216,360,0,0,0,228,228,380,50,0,50,270,270,450,195,195,0,462,462,770,440,440,0,474,474,790,570,0,570,552,552,920,1145,1145,0,585,585,975,1320,0,1320,630,630,1050,1720,0,1720,444,444,740,2030,2030,0,1998,1998,7890,2787,203,167
5,216,216,360,0,0,0,222,222,370,25,0,25,306,306,510,245,245,0,273,273,455,295,0,295,540,540,900,810,810,0,540,540,900,1100,1100,0,606,606,1010,1310,0,1310,444,444,740,1670,1670,0,414,414,690,2055,2055,0,1998,1998,7890,2787,203,167
6,216,216,360,0,0,0,222,222,370,15,15,0,234,234,390,130,0,130,402,402,670,425,425,0,393,393,655,530,0,530,564,564,940,975,0,975,609,609,1015,1380,0,1380,768,768,1280,1720,0,1720,354,354,590,2005,2005,0,1998,1998,7890,2787,203,167
7,216,216,360,0,0,0,222,222,370,35,0,35,282,282,470,200,200,0,420,420,700,435,435,0,456,456,760,880,880,0,540,540,900,950,0,950,546,546,910,1490,1490,0,426,426,710,1800,1800,0,414,414,690,2015,2015,0,1998,1998,7890,2787,203,167
8,216,216,360,0,0,0,234,234,390,40,0,40,240,240,400,150,0,150,426,426,710,440,440,0,558,558,930,830,830,0,579,579,965,965,0,965,456,456,760,1570,1570,0,522,522,870,1755,1755,0,717,717,1195,2235,0,2235,1998,1998,7890,2787,203,167
