,pc_100,pc_95,pc_90,pc_85,pc_80,pc_75,pc_70,pc_65,pc_60,history
0,73,75,75,94,130,181,223,153,259,667
1,73,71,111,102,146,187,218,143,262,667
2,73,73,85,92,144,193,235,161,143,667
3,73,71,95,95,143,205,187,189,143,667
4,73,77,91,155,159,185,196,211,149,667
5,73,75,103,92,181,181,203,149,139,667
6,73,75,79,135,132,189,204,257,119,667
7,73,75,95,141,153,181,183,143,139,667
8,73,79,81,143,187,194,153,175,240,667
9,73,77,93,96,179,183,193,260,149,667
10,73,73,115,137,175,181,185,155,141,667
11,73,69,99,135,149,169,171,171,237,667
12,73,79,97,133,142,164,201,151,256,667
13,73,67,83,141,185,173,215,159,159,667
14,73,71,91,139,116,190,181,163,228,667
15,73,67,105,131,151,175,231,235,161,667
16,73,71,82,151,167,163,187,210,252,667
17,73,73,91,147,169,175,215,240,151,667
18,73,81,95,153,185,181,235,263,263,667
19,73,77,75,147,173,179,194,169,159,667
20,73,75,83,99,173,175,159,171,169,667
21,73,73,101,145,131,183,210,230,259,667
22,73,85,73,106,151,175,169,163,249,667
23,73,81,89,129,183,191,234,181,227,667
24,73,75,86,113,140,169,169,246,135,667
25,73,71,73,109,171,162,197,237,149,667
26,73,71,78,93,135,183,234,236,141,667
27,73,67,79,139,159,175,225,243,137,667
28,73,73,81,139,161,170,189,167,248,667
29,73,77,87,86,165,181,179,155,143,667
30,73,81,109,157,189,203,199,225,243,667
31,73,67,109,90,128,179,199,191,234,667
32,73,73,82,110,142,169,179,165,245,667
33,73,71,95,95,173,167,193,255,253,667
34,73,73,107,133,144,197,173,163,264,667
35,73,77,87,149,165,191,165,215,278,667
36,73,71,87,113,163,167,223,243,161,667
37,73,69,99,103,171,187,224,165,242,667
38,73,75,91,91,143,159,177,251,131,667
39,73,75,87,145,157,179,212,141,261,667
40,73,71,81,147,141,177,202,235,139,667
41,73,73,105,89,144,197,217,135,141,667
42,73,77,79,105,163,191,201,236,234,667
43,73,75,107,101,146,183,215,155,260,667
44,73,79,95,151,128,178,236,229,253,667
45,73,73,107,102,163,175,163,159,227,667
46,73,79,77,95,163,171,217,157,256,667
47,73,67,101,101,177,183,165,234,147,667
48,73,71,99,155,169,192,205,149,240,667
49,73,73,105,108,138,182,203,241,141,667
50,73,75,99,91,181,203,185,236,161,667
51,73,65,93,121,124,185,223,161,249,667
52,73,67,89,98,143,192,155,249,231,667
53,73,67,77,133,169,193,209,255,259,667
54,73,73,97,151,169,177,195,225,137,667
55,73,73,101,143,146,181,218,222,143,667
56,73,81,81,145,126,168,155,167,155,667
57,73,75,101,86,140,179,163,239,131,667
58,73,77,86,145,134,183,218,244,233,667
59,73,79,97,90,183,167,235,179,149,667
60,73,71,75,121,183,191,240,145,248,667
61,73,73,81,131,134,193,240,230,261,667
62,73,75,75,103,129,181,227,157,235,667
63,73,77,79,97,175,177,215,173,245,667
64,73,75,107,102,122,175,177,191,143,667
65,73,77,111,139,134,180,173,155,135,667
66,73,81,83,98,183,171,201,245,255,667
67,73,73,101,92,133,189,212,262,161,667
68,73,75,83,153,163,178,163,155,221,667
69,73,71,109,108,135,173,197,262,155,667
70,73,71,73,90,169,185,215,181,181,667
71,73,69,93,104,158,187,185,230,159,667
72,73,71,79,145,132,199,189,181,133,667
73,73,79,67,102,197,181,177,175,267,667
74,73,67,107,147,146,189,179,247,266,667
75,73,83,101,96,134,192,204,171,149,667
76,73,75,82,109,179,195,232,163,265,667
77,73,73,101,133,114,181,208,230,249,667
78,73,73,101,125,132,188,169,151,137,667
79,73,73,97,149,179,205,209,230,243,667
80,73,69,109,131,161,181,238,233,131,667
81,73,69,107,96,187,177,183,229,145,667
82,73,73,101,151,167,177,181,169,236,667
83,73,69,79,137,163,185,175,173,129,667
84,73,79,74,107,125,179,217,171,121,667
85,73,77,81,92,129,171,185,217,235,667
86,73,69,83,151,128,179,161,224,261,667
87,73,77,85,137,165,187,169,215,231,667
88,73,77,89,151,177,192,193,246,147,667
89,73,71,87,141,144,163,203,171,137,667
90,73,75,105,104,140,195,183,159,135,667
91,73,81,87,137,173,199,243,243,250,667
92,73,73,77,90,177,166,167,189,245,667
93,73,77,89,139,163,173,220,163,257,667
94,73,65,75,149,151,188,183,232,151,667
95,73,77,101,129,177,192,225,260,255,667
96,73,71,113,129,195,175,217,175,233,667
97,73,69,97,159,153,183,177,163,155,667
98,73,71,113,117,163,181,201,155,171,667
99,73,73,97,87,173,178,234,252,257,667
