,pc_100,pc_100,pc_100,pc_100,pc_100,pc_100,pc_98,pc_98,pc_98,pc_98,pc_98,pc_98,pc_96,pc_96,pc_96,pc_96,pc_96,pc_96,pc_94,pc_94,pc_94,pc_94,pc_94,pc_94,pc_92,pc_92,pc_92,pc_92,pc_92,pc_92,pc_90,pc_90,pc_90,pc_90,pc_90,pc_90,history,history,history,history,history,history
,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded
0,456,456,2040,0,0,0,450,450,2030,10,10,0,498,498,2110,80,70,0,546,546,2190,150,0,125,543,543,2185,250,0,235,600,600,2280,340,0,290,3846,3846,15290,924,342,359
1,456,456,2040,0,0,0,456,456,2040,0,0,0,456,456,2120,60,35,0,480,480,2080,135,125,0,528,528,2160,225,0,210,594,594,2270,420,330,0,3846,3846,15290,924,342,359
2,456,456,2040,0,0,0,450,450,2030,5,5,0,468,468,2140,75,55,0,492,492,2100,150,125,0,594,594,2350,285,235,0,513,513,2135,270,0,240,3846,3846,15290,924,342,359
3,456,456,2040,0,0,0,456,456,2040,10,0,10,480,480,2080,85,75,0,498,498,2110,145,130,0,498,498,2110,235,195,0,576,576,2320,365,320,0,3846,3846,15290,924,342,359
4,456,456,2040,0,0,0,462,462,2050,30,0,25,480,480,2080,65,0,55,504,504,2120,125,0,120,516,516,2140,255,225,0,588,588,2260,445,365,0,3846,3846,15290,924,342,359
5,456,456,2040,0,0,0,456,456,2040,0,0,0,468,468,2140,70,40,0,486,486,2090,105,90,0,540,540,2180,235,0,210,591,591,2265,325,0,305,3846,3846,15290,924,342,359
6,456,456,2040,0,0,0,462,462,2050,20,0,10,474,474,2070,55,0,50,480,480,2080,130,120,0,504,504,2120,210,165,0,612,612,2300,325,0,300,3846,3846,15290,924,342,359
7,456,456,2040,0,0,0,450,450,2030,10,0,10,480,480,2080,50,0,45,480,480,2080,115,90,0,588,588,2340,315,255,0,612,612,2300,335,0,310,3846,3846,15290,924,342,359
8,456,456,2040,0,0,0,462,462,2050,15,15,0,468,468,2060,45,45,0,510,510,2130,130,0,125,510,510,2130,245,215,0,594,594,2270,310,0,270,3846,3846,15290,924,342,359
9,456,456,2040,0,0,0,462,462,2050,5,5,0,468,468,2060,45,30,0,528,528,2160,115,115,0,510,510,2130,240,0,200,582,582,2250,300,0,250,3846,3846,15290,924,342,359
