,pc_100,pc_100,pc_100,pc_100,pc_100,pc_90,pc_90,pc_90,pc_90,pc_90,pc_80,pc_80,pc_80,pc_80,pc_80,pc_70,pc_70,pc_70,pc_70,pc_70,pc_60,pc_60,pc_60,pc_60,pc_60,history,history,history,history,history
,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion
0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0
1,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0
2,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0
3,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0
4,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0
5,5415,3,3,5,0,5415,3,3,5,0,5415,3,3,5,0,668,0,0,0,1,5415,3,3,5,0,668,0,0,0,1
6,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5415,3,3,5,0
7,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
8,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
9,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
10,5800,0,0,0,0,5800,0,0,0,0,825,3,3,5,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
11,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
12,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,825,3,3,5,1
13,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5415,3,3,5,0
14,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,825,3,3,5,1
15,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5415,3,3,5,0,5800,0,0,0,0,5415,3,3,5,0
16,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
17,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
18,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
19,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0,825,3,3,5,1
20,5800,0,0,0,0,5800,0,0,0,0,5415,3,3,5,0,825,3,3,5,1,5800,0,0,0,0,5415,3,3,5,0
21,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
22,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
23,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,825,3,3,5,1
24,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5415,3,3,5,0
25,825,3,3,5,0,825,3,3,5,0,825,3,3,5,0,668,0,0,0,0,5800,0,0,0,1,825,3,3,5,0
26,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,5415,3,3,5,1
27,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,825,3,3,5,0
28,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
29,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
30,668,0,0,0,0,5415,3,3,5,1,668,0,0,0,0,668,0,0,0,0,825,3,3,5,0,5415,3,3,5,1
31,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,825,3,3,5,0
32,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0
33,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0
34,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0
35,668,0,0,0,0,825,3,3,5,0,668,0,0,0,0,668,0,0,0,0,5415,3,3,5,1,668,0,0,0,0
36,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
37,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
38,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
39,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,5415,3,3,5,1
40,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,825,3,3,5,0
41,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,5415,3,3,5,1
42,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,825,3,3,5,0
43,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
44,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
45,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
46,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
47,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
48,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
49,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
50,668,0,0,0,0,5415,3,3,5,1,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
51,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,5415,3,3,5,1
