Date,Open,High,Low,Close,Adj Close,Volume
2020-01-08,473.700012,498.489990,468.230011,492.140015,492.140015,31144300
2020-01-09,497.100006,498.799988,472.869995,481.339996,481.339996,28440400
2020-01-10,481.790009,484.940002,473.700012,478.149994,478.149994,12959500
2020-01-13,493.500000,525.630005,492.000000,524.859985,524.859985,26517600
2020-01-14,544.260010,547.409973,524.900024,537.919983,537.919983,28996200
2020-01-15,529.760010,537.840027,516.789978,518.500000,518.500000,17368800
2020-01-16,493.750000,514.460022,492.170013,513.489990,513.489990,21736700
2020-01-17,507.609985,515.669983,503.160004,510.500000,510.500000,13629100
2020-01-21,530.250000,548.580017,528.409973,547.200012,547.200012,17803500
2020-01-22,571.890015,594.500000,559.099976,569.559998,569.559998,31369000
2020-01-23,564.250000,582.000000,555.599976,572.200012,572.200012,19651000
2020-01-24,570.630005,573.859985,554.260010,564.820007,564.820007,14353600
2020-01-27,541.989990,564.440002,539.280029,558.020020,558.020020,13608100
2020-01-28,568.489990,576.809998,558.080017,566.900024,566.900024,11788500
2020-01-29,575.690002,589.799988,567.429993,580.989990,580.989990,17801500
2020-01-30,632.419983,650.880005,618.000000,640.809998,640.809998,29005700
2020-01-31,640.000000,653.000000,632.520020,650.570007,650.570007,15719300
2020-02-03,673.690002,786.140015,673.520020,780.000000,780.000000,47233500
2020-02-04,882.960022,968.989990,833.880005,887.059998,887.059998,60938800
2020-02-05,823.260010,845.979980,704.109985,734.700012,734.700012,48423800
2020-02-06,699.919983,795.830017,687.000000,748.960022,748.960022,39880800
2020-02-07,730.549988,769.750000,730.000000,748.070007,748.070007,17063500
2020-02-10,800.000000,819.989990,752.400024,771.280029,771.280029,24689200
2020-02-11,768.789978,783.510010,758.000000,774.380005,774.380005,11697500
2020-02-12,777.869995,789.750000,763.369995,767.289978,767.289978,12022500
2020-02-13,741.840027,818.000000,735.000000,804.000000,804.000000,26289300
2020-02-14,787.219971,812.969971,785.500000,800.030029,800.030029,15693700
2020-02-18,841.599976,860.000000,832.359985,858.400024,858.400024,16381700
2020-02-19,923.500000,944.780029,901.020020,917.419983,917.419983,25423000
2020-02-20,911.950012,912.000000,859.940002,899.409973,899.409973,17634900
2020-02-21,906.979980,913.059998,880.450012,901.000000,901.000000,14314800
2020-02-24,839.000000,863.500000,822.200012,833.789978,833.789978,15192200
2020-02-25,849.000000,856.599976,787.000000,799.909973,799.909973,17290500
2020-02-26,782.500000,813.309998,776.109985,778.799988,778.799988,14085500
2020-02-27,730.000000,739.770020,669.000000,679.000000,679.000000,24277200
2020-02-28,629.700012,690.520020,611.520020,667.989990,667.989990,24564200
2020-03-02,711.260010,743.690002,686.669983,743.619995,743.619995,20195000
2020-03-03,805.000000,806.979980,716.109985,745.510010,745.510010,25784000
2020-03-04,763.960022,766.520020,724.729980,749.500000,749.500000,15049000
2020-03-05,723.770020,745.750000,718.070007,724.539978,724.539978,10852700
2020-03-06,690.000000,707.000000,684.270020,703.479980,703.479980,12635500
