,sent,received
1583107200,184.8996008,0.2874117
1583107260,133.4958887,0.4301243
1583107320,231.1453922,0.6326072
1583107380,189.2140771,0.6629578
1583107440,178.0890391,0.6658114
1583107500,278.607914,0.6600617
1583107560,295.1543646,0.7358534
1583107620,249.398427,0.9010924
1583107680,228.6067669,0.5564871
1583107740,232.3092166,0.8711064
1583107800,265.9430199,0.6206077
1583107860,246.5826414,0.2354676
1583107920,138.1033519,0.5092591
1583107980,116.6215699,0.8973628
1583108040,193.2485617,0.4939138
1583108100,101.7295895,0.7324993
1583108160,218.742325,0.2165403
1583108220,159.8245148,0.9887321
1583108280,217.9995139,0.0637917
1583108340,197.6463674,0.3569326
1583108400,264.4103541,0.6728652
1583108460,132.8598989,0.3510765
1583108520,229.5045801,0.8854654
1583108580,190.2984216,0.5709977
1583108640,248.5428156,0.2373684
1583108700,141.9324976,0.4705421
1583108760,172.4423121,0.7246265
1583108820,235.0656772,0.553533
1583108880,242.8379779,0.3459156
1583108940,279.3784501,0.8159328
1583109000,106.2253882,0.9408779
1583109060,264.7177297,0.3091811
1583109120,295.2788179,0.1294453
1583109180,190.3749767,0.0215339
1583109240,270.5451361,0.5589085
1583109300,231.3312685,0.4814411
1583109360,119.3858,0.8055653
1583109420,149.1111395,0.2987819
1583109480,293.1133742,0.5986615
1583109540,277.8648627,0.118955
1583109600,207.3551573,0.1444081
1583109660,123.6370073,0.0773491
1583109720,259.9451527,0.384831
1583109780,276.7441461,0.0873988
1583109840,203.2604294,0.1248478
1583109900,140.6492505,0.4222632
1583109960,292.9088568,0.000342
1583110020,124.616296,0.9532007
1583110080,125.8723556,0.9625215
1583110140,146.9976099,0.0809593
1583110200,228.6549656,0.2397836
1583110260,128.0476567,0.8411143
1583110320,236.5446376,0.778395
1583110380,292.3789459,0.923805
1583110440,228.1870674,0.3665117
1583110500,114.9986957,0.3955181
1583110560,288.3896923,0.1396123
1583110620,116.9238022,0.4982331
1583110680,259.1769764,0.0731635
1583110740,149.6185161,0.6788469
1583110800,100.5401721,0.0237556
1583110860,246.762455,0.8417767
1583110920,224.86784,0.7018293
1583110980,105.9621322,0.3492483
1583111040,227.7755226,0.461997
1583111100,204.5154416,0.5739793
1583111160,106.6021208,0.2675196
1583111220,231.0970565,0.6479323
1583111280,256.948917,0.0112107
1583111340,135.5302602,0.6721578
1583111400,232.7178509,0.2796346
1583111460,207.0510234,0.3203816
1583111520,286.2361492,0.6625581
1583111580,271.5006762,0.9818055
1583111640,193.3223856,0.5880294
1583111700,127.712118,0.2848045
1583111760,184.5305239,0.8687378
1583111820,135.7533219,0.2402739
1583111880,115.1881666,0.7131693
1583111940,103.5817505,0.0301872
1583112000,171.2814762,0.4659957
1583112060,260.8341307,0.6504023
1583112120,122.4954383,0.1324206
1583112180,244.1751755,0.9839774
1583112240,245.1508881,0.9304541
1583112300,214.81188,0.4598917
1583112360,236.7284313,0.4935217
1583112420,185.8008494,0.7174293
1583112480,293.6255654,0.2468357
1583112540,269.9426042,0.9058285
1583112600,145.2972996,0.8315044
1583112660,248.4080733,0.9059973
1583112720,113.9976327,0.4875393
1583112780,228.5371978,0.6660793
1583112840,184.0915398,0.1592262
1583112900,283.576267,0.0984601
1583112960,147.0939848,0.4481453
1583113020,199.5447931,0.5362568
1583113080,221.2781199,0.9042982
1583113140,202.7284629,0.7853433
1583113200,142.2020494,0.4040603
1583113260,224.5366036,0.3711181
1583113320,224.6562344,0.592058
1583113380,236.2850267,0.7969827
1583113440,269.6741877,0.3469708
1583113500,175.7590331,0.3061476
1583113560,131.7746846,0.4131199
1583113620,290.6081091,0.4678557
1583113680,136.5442389,0.7394007
1583113740,146.7498187,0.2847705
1583113800,126.0268974,0.3846184
1583113860,129.5817406,0.9250046
1583113920,145.9599501,0.719478
1583113980,240.5966583,0.8017931
1583114040,104.0763649,0.6721002
1583114100,199.0843797,0.3342184
1583114160,253.1977263,0.8761002
1583114220,271.7972397,0.1504128
1583114280,123.6094183,0.0969602
1583114340,186.0083509,0.561489
1583114400,129.0634561,0.6017266
1583114460,180.7809661,0.1988219
1583114520,249.4680063,0.4961546
1583114580,213.4307842,0.6088967
1583114640,216.2051912,0.8722659
1583114700,175.1266793,0.3970176
1583114760,192.8996227,0.9855233
1583114820,148.9709357,0.1574466
1583114880,163.9500482,0.8349661
1583114940,243.522359,0.6037114
1583115000,270.7043764,0.1625263
1583115060,158.9972199,0.365452
1583115120,139.4576808,0.9364168
1583115180,100.2391874,0.7490268
1583115240,167.4499505,0.0741498
1583115300,101.7808531,0.8979123
1583115360,201.2954355,0.6252186
1583115420,149.9127708,0.3792023
1583115480,272.6072383,0.2215275
1583115540,267.4606841,0.3660995
1583115600,293.6553242,0.1330248
