,sent,received
1583884800,180.7027479,0.8598896
1583884860,262.8996158,0.0303341
1583884920,131.0893285,0.2878281
1583884980,250.7656329,0.8231263
1583885040,218.9736294,0.1283498
1583885100,150.5800082,0.6542225
1583885160,228.4595709,0.6961582
1583885220,282.8738598,0.0259855
1583885280,132.0472343,0.6744161
1583885340,133.8770636,0.8408614
1583885400,150.8528032,0.984431
1583885460,125.6764198,0.6662139
1583885520,228.1286133,0.4177985
1583885580,195.3459733,0.8531958
1583885640,132.6037888,0.6282115
1583885700,173.3839246,0.7484978
1583885760,171.5157672,0.9382171
1583885820,204.1592397,0.6260763
1583885880,107.561063,0.4814184
1583885940,161.1359898,0.5059492
1583886000,219.7924029,0.5208332
1583886060,193.6046403,0.1324357
1583886120,229.2593507,0.5855119
1583886180,157.8778331,0.8617861
1583886240,102.052799,0.3813854
1583886300,193.6855871,0.5623161
1583886360,271.1960397,0.0175554
1583886420,143.3995098,0.9178943
1583886480,264.3810104,0.8504539
1583886540,224.7644129,0.9737747
1583886600,242.2534891,0.4874935
1583886660,162.0609198,0.4408725
1583886720,169.4564616,0.5199643
1583886780,242.7343498,0.6428869
1583886840,168.3574453,0.0818291
1583886900,275.5032092,0.7974301
1583886960,178.7719543,0.9837429
1583887020,126.6878067,0.1414258
1583887080,241.1680828,0.7891577
1583887140,146.4280949,0.0705647
1583887200,213.3730473,0.400197
1583887260,209.5638701,0.936719
1583887320,278.8791745,0.3089518
1583887380,257.8440342,0.2007059
1583887440,241.596862,0.5317341
1583887500,228.3153128,0.3632209
1583887560,130.0815652,0.5775918
1583887620,155.8047544,0.246788
1583887680,206.7648037,0.329379
1583887740,274.0128704,0.9519983
1583887800,242.4420724,0.455438
1583887860,170.6935605,0.6658307
1583887920,142.6279286,0.6947126
1583887980,224.7270319,0.1327897
1583888040,121.9203382,0.7876401
1583888100,215.4345429,0.9252336
1583888160,240.5969948,0.9658101
1583888220,171.8554125,0.313966
1583888280,168.5925927,0.107597
1583888340,118.4824526,0.0322176
1583888400,261.524664,0.2960299
1583888460,287.6818171,0.420831
1583888520,158.2305451,0.7925201
1583888580,162.913368,0.8593804
1583888640,108.211572,0.3027714
1583888700,181.3051279,0.1856445
1583888760,148.9010655,0.7729183
1583888820,176.4302828,0.4595852
1583888880,182.0166429,0.7005704
1583888940,223.8880192,0.7632318
1583889000,115.692788,0.3090827
1583889060,162.7386557,0.1908302
1583889120,146.8566795,0.1895879
1583889180,161.2160101,0.9605521
1583889240,297.55515,0.5962647
1583889300,208.2724226,0.5283982
1583889360,247.7264468,0.5508403
1583889420,160.9670518,0.8598609
1583889480,149.9806218,0.3713507
1583889540,170.5192407,0.3567157
1583889600,297.4599618,0.8453516
1583889660,180.2359692,0.1188363
1583889720,178.1383886,0.8265679
1583889780,230.0925799,0.7472612
1583889840,138.4460056,0.0552189
1583889900,218.8511523,0.7872504
1583889960,143.8438167,0.5260494
1583890020,111.3585795,0.9902084
1583890080,144.9173074,0.7591056
1583890140,298.3108237,0.9808333
1583890200,160.7166826,0.8178742
1583890260,165.0201706,0.5560956
1583890320,289.84277,0.3015446
1583890380,143.2990267,0.8329693
1583890440,246.1126431,0.0639935
1583890500,207.5365151,0.8391517
1583890560,286.5572049,0.5229925
1583890620,264.9104282,0.4063623
1583890680,194.6431514,0.8014816
1583890740,236.7373086,0.374423
1583890800,239.6207159,0.5735976
1583890860,199.9081166,0.637509
1583890920,247.3899185,0.2821947
1583890980,275.9882915,0.7106955
1583891040,128.0981373,0.6314138
1583891100,164.8575,0.4778093
1583891160,107.4942633,0.1573343
1583891220,258.8459788,0.1263649
1583891280,244.8608463,0.5340604
1583891340,141.4870038,0.8153003
1583891400,139.2958864,0.4699272
1583891460,248.8251081,0.64452
1583891520,200.5883915,0.0510977
1583891580,175.8033826,0.2382916
1583891640,231.7081633,0.0495608
1583891700,256.5958903,0.1909228
1583891760,203.8901291,0.5174027
1583891820,146.9662891,0.1310452
1583891880,228.7010427,0.5878841
1583891940,262.7010438,0.071762
1583892000,233.9340205,0.8177785
1583892060,298.2991321,0.9964822
1583892120,262.5162792,0.5997681
1583892180,123.490369,0.3171446
1583892240,231.4267645,0.474352
1583892300,238.7117439,0.9220565
1583892360,172.3087678,0.4124165
1583892420,165.4081321,0.7093757
1583892480,285.271787,0.3716597
1583892540,221.6796863,0.8258533
1583892600,241.8645698,0.6079019
1583892660,235.4145016,0.0389329
1583892720,260.594672,0.6618598
1583892780,161.8639917,0.7616215
1583892840,275.6277353,0.614739
1583892900,263.7550374,0.5174175
1583892960,179.5238944,0.2720014
1583893020,216.0281899,0.1837962
1583893080,207.7681568,0.9759691
1583893140,151.4201733,0.0193157
1583893200,139.3306635,0.8053472
1583893260,269.9748003,0.533574
1583893320,216.7167404,0.936464
1583893380,204.824536,0.4378872
1583893440,224.0373848,0.1511665
1583893500,244.903651,0.175885
1583893560,153.7871344,0.4220423
1583893620,292.3777466,0.0258344
1583893680,201.5268399,0.2847272
1583893740,273.9864495,0.8979334
1583893800,190.546453,0.5635083
1583893860,218.4646208,0.3330175
1583893920,262.7474467,0.8621079
1583893980,192.9328278,0.7922925
1583894040,249.0029434,0.0745478
1583894100,122.1751547,0.5738104
1583894160,108.6848268,0.4258373
1583894220,179.0112059,0.5415095
1583894280,207.203934,0.1366084
1583894340,251.248114,0.9316515
1583894400,217.6837922,0.4590125
1583894460,117.2100896,0.7964248
1583894520,172.4093048,0.97894
1583894580,107.5409807,0.5570922
1583894640,144.251987,0.944212
1583894700,145.6437849,0.7756715
1583894760,196.1215644,0.4368781
1583894820,291.008405,0.499874
1583894880,149.2913728,0.7191778
1583894940,211.0103609,0.5055138
1583895000,144.9348823,0.8175783
1583895060,105.1727261,0.6857194
1583895120,109.4944597,0.4107839
1583895180,193.3821196,0.4566223
1583895240,120.1027703,0.2962725
1583895300,152.2183904,0.0616506
1583895360,147.6380181,0.0911614
1583895420,227.8292614,0.2506397
1583895480,111.7657148,0.3065274
1583895540,163.7494233,0.2467351
1583895600,162.6559292,0.3028925
1583895660,138.1673999,0.0699955
1583895720,281.2659359,0.1335292
1583895780,245.9118014,0.3178502
1583895840,106.1167699,0.8240376
1583895900,246.1802426,0.0751616
1583895960,141.1275084,0.6490491
1583896020,221.3172909,0.0128774
1583896080,208.4540906,0.3087114
1583896140,240.9436784,0.2813409
1583896200,286.5076191,0.5256366
1583896260,134.9666687,0.1127674
1583896320,242.1902706,0.9710652
1583896380,103.9958058,0.0787014
1583896440,186.5253264,0.0578055
1583896500,235.9927013,0.6973822
1583896560,210.3876655,0.8117903
1583896620,284.8960191,0.9415345
1583896680,203.804282,0.3928631
1583896740,147.4224125,0.6251645
1583896800,144.6251363,0.6740877
1583896860,194.578589,0.4030422
1583896920,132.6638899,0.5841576
1583896980,284.7189043,0.6483827
1583897040,108.0025953,0.7635705
1583897100,244.9481362,0.8104799
1583897160,124.0463574,0.2520123
1583897220,212.4444657,0.8593803
1583897280,213.6097834,0.2560341
1583897340,163.8489033,0.4693622
1583897400,211.8341069,0.5110808
1583897460,244.8303276,0.7017954
1583897520,217.9402665,0.8639901
1583897580,190.6043296,0.5135941
1583897640,164.3964138,0.9699444
1583897700,139.3170988,0.7755835
1583897760,209.3920666,0.346811
1583897820,138.9828277,0.6195784
1583897880,263.3815661,0.2396762
1583897940,255.580979,0.6460364
1583898000,255.6985993,0.2596187
1583898060,116.3736255,0.0746556
1583898120,219.2871328,0.6298941
1583898180,156.5976282,0.2435061
1583898240,192.8048736,0.6071934
1583898300,246.4317405,0.1441348
1583898360,241.7692512,0.9306734
1583898420,181.2558077,0.405619
1583898480,292.1367497,0.7095149
1583898540,133.6457279,0.5628924
1583898600,182.4299947,0.1905651
1583898660,124.912466,0.4304483
1583898720,189.0076844,0.3988195
1583898780,145.3638004,0.7280372
1583898840,223.5083379,0.7418571
1583898900,147.0090664,0.7923109
1583898960,142.7979097,0.3176046
1583899020,258.276323,0.0691257
1583899080,160.0220909,0.4226549
1583899140,172.6735551,0.8221401
1583899200,100.3569075,0.6473132
1583899260,132.0879627,0.7174121
1583899320,117.5200315,0.4294173
1583899380,193.8207737,0.5738301
1583899440,174.6266497,0.2465751
1583899500,262.1602047,0.9637806
